,assists,blocks,fg_attempts,fg_made,ft_attempts,ft_made,opponent,player,points,position,rebounds,salary,stats,steals,team,threes,turnovers,date,away,minutes_played,team_points,opponent_points,dk_pt
2249,2,0,3,1,0,0,mia,"Maker, Thon",2,PF/C,3,3100,2pt 3rb 2as 1st 1-3fg,1,mil,0,0,2019-01-15,False,9.1,124,86,10.75
2250,1,1,2,1,0,0,atl,"Patterson, Patrick",2,PF/C,4,3500,2pt 4rb 1as 1bl 1-2fg,0,okc,0,0,2019-01-15,True,13.22,126,142,10.5
2251,2,0,6,0,2,2,mil,"Adebayo, Bam",2,PF/C,5,5200,2pt 5rb 2as 2to 0-6fg 2-2ft,0,mia,0,2,2019-01-15,True,23.33,86,124,10.25
2252,0,1,3,2,0,0,mia,"Ilyasova, Ersan",5,PF/C,2,3400,5pt 2rb 1bl 1trey 2-3fg,0,mil,1,0,2019-01-15,False,13.13,124,86,10.0
2253,1,1,4,2,0,0,min,"Muscala, Mike",4,PF/C,2,3500,4pt 2rb 1as 1bl 2-4fg,0,phi,0,0,2019-01-15,False,19.28,149,107,10.0
2254,1,0,2,1,0,0,lal,"Felicio, Cristiano",2,C,2,3000,2pt 2rb 1as 1st 1-2fg,1,chi,0,0,2019-01-15,True,2.1,100,107,8.0
2255,0,0,7,1,0,0,mil,"Olynyk, Kelly",2,PF/C,5,3800,2pt 5rb 1to 1-7fg,0,mia,0,1,2019-01-15,True,13.12,86,124,7.75
2256,1,0,1,1,0,0,mia,"Smith, Jason",3,PF/C,2,3000,3pt 2rb 1as 1trey 1-1fg,0,mil,1,0,2019-01-15,False,7.03,124,86,7.5
2257,2,1,3,0,0,0,pho,"O'Quinn, Kyle",0,PF/C,1,3700,0pt 1rb 2as 1bl 0-3fg,0,ind,0,0,2019-01-15,False,4.15,131,97,6.25
2258,0,0,4,2,0,0,den,"Bell, Jordan",4,PF/C,2,3200,4pt 2rb 1to 2-4fg,0,gsw,0,1,2019-01-15,True,8.15,142,111,6.0
2259,1,0,0,0,2,1,gsw,"Welsh, Thomas",1,C,1,3000,1pt 1rb 1as 1-2ft,0,den,0,0,2019-01-15,False,7.1,111,142,3.75
2260,0,0,2,0,0,0,ind,"Acy, Quincy",0,PF/C,0,3000,0pt 1st 0-2fg,1,pho,0,0,2019-01-15,True,8.08,97,131,2.0
2261,0,0,1,0,0,0,ind,"Bender, Dragan",0,PF/C,0,3000,0pt 0-1fg,0,pho,0,0,2019-01-15,True,4.15,97,131,0.0
2262,6,1,34,16,23,21,bkn,"Harden, James",58,PG/SG,10,13000,58pt 10rb 6as 1st 1bl 4to 5trey 16-34fg 21-23ft,1,hou,5,4,2019-01-16,False,45.03,142,145,85.5
2263,18,1,19,11,2,2,tor,"Irving, Kyrie",27,PG,5,8600,27pt 5rb 18as 1st 1bl 7to 3trey 11-19fg 2-2ft,1,bos,3,7,2019-01-16,False,37.98,117,108,63.75
2264,3,0,22,11,10,10,nor,"Curry, Stephen",41,PG/SG,5,10100,41pt 5rb 3as 1st 2to 9trey 11-22fg 10-10ft,1,gsw,9,2,2019-01-16,False,35.13,147,140,57.25
2265,10,0,22,13,4,3,hou,"Dinwiddie, Spencer",33,PG/SG,2,5400,33pt 2rb 10as 4to 4trey 13-22fg 3-4ft,0,bkn,4,4,2019-01-16,True,32.35,145,142,52.0
2266,7,1,19,8,8,5,gsw,"Holiday, Jrue",25,PG/SG,6,8200,25pt 6rb 7as 1st 1bl 4trey 8-19fg 5-8ft,1,nor,4,0,2019-01-16,True,41.1,140,147,49.0
2267,6,0,19,11,7,7,cle,"Lillard, Damian",33,PG,2,9000,33pt 2rb 6as 4trey 11-19fg 7-7ft,0,por,4,0,2019-01-16,False,32.0,129,112,46.5
2268,6,0,22,10,8,8,lac,"Mitchell, Donovan",28,PG/SG,2,9100,28pt 2rb 6as 3st 5to 10-22fg 8-8ft,3,uta,0,5,2019-01-16,True,35.17,129,109,43.0
2269,6,0,18,11,2,1,uta,"Williams, Louis",23,PG/SG,6,6100,23pt 6rb 6as 1st 1to 11-18fg 1-2ft,1,lac,0,1,2019-01-16,False,26.87,109,129,41.0
2270,3,0,17,7,1,1,nor,"Thompson, Klay",19,SG,7,6500,19pt 7rb 3as 1st 3to 4trey 7-17fg 1-1ft,1,gsw,4,3,2019-01-16,False,35.7,147,140,34.75
2271,12,0,10,3,1,0,gsw,"Payton, Elfrid",7,PG,5,5700,7pt 5rb 12as 2st 4to 1trey 3-10fg 0-1ft,2,nor,1,4,2019-01-16,True,29.23,140,147,33.75
2272,6,1,14,5,0,0,bkn,"Rivers, Austin",13,PG/SG,5,5400,13pt 5rb 6as 1st 1bl 3trey 5-14fg,1,hou,3,0,2019-01-16,False,45.92,142,145,33.75
2273,7,1,10,3,3,3,bos,"Lowry, Kyle",10,PG,6,7200,10pt 6rb 7as 1st 1bl 1to 1trey 3-10fg 3-3ft,1,tor,1,1,2019-01-16,True,33.53,108,117,32.0
2274,4,0,13,5,4,4,mem,"Bledsoe, Eric",16,PG/SG,2,6300,16pt 2rb 4as 3st 1to 2trey 5-13fg 4-4ft,3,mil,2,1,2019-01-16,True,24.62,111,101,31.0
2275,4,0,13,5,0,0,dal,"Mills, Patty",14,PG/SG,2,3700,14pt 2rb 4as 2st 4trey 5-13fg,2,sas,4,0,2019-01-16,True,23.55,105,101,28.5
2276,7,0,12,6,0,0,det,"Augustin, D.J.",13,PG,3,4500,13pt 3rb 7as 1trey 6-12fg,0,orl,1,0,2019-01-16,True,32.27,115,120,27.75
2277,3,0,17,9,2,2,por,"Clarkson, Jordan",22,PG/SG,0,5500,22pt 3as 2trey 9-17fg 2-2ft,0,cle,2,0,2019-01-16,True,29.17,112,129,27.5
2278,7,0,11,4,0,0,hou,"Russell, D'Angelo",10,PG/SG,3,7300,10pt 3rb 7as 1st 1to 2trey 4-11fg,1,bkn,2,1,2019-01-16,True,27.72,145,142,26.75
2279,5,2,9,3,1,0,mil,"Carter, Jevon",8,PG/SG,2,3300,8pt 2rb 5as 2st 2bl 2to 2trey 3-9fg 0-1ft,2,mem,2,2,2019-01-16,False,28.42,101,111,26.0
2280,1,0,13,7,4,3,cle,"McCollum, C.J.",19,PG/SG,3,6600,19pt 3rb 1as 2trey 7-13fg 3-4ft,0,por,2,0,2019-01-16,False,29.37,129,112,25.25
2281,4,1,9,3,3,2,mem,"Brogdon, Malcolm",9,PG/SG,6,5900,9pt 6rb 4as 1bl 1to 1trey 3-9fg 2-3ft,0,mil,1,1,2019-01-16,True,26.13,111,101,24.5
2282,3,0,9,5,0,0,dal,"Forbes, Bryn",12,PG/SG,5,4500,12pt 5rb 3as 2trey 5-9fg,0,sas,2,0,2019-01-16,True,32.78,105,101,23.75
2283,4,0,12,5,1,1,orl,"Jackson, Reggie",13,PG/SG,3,4800,13pt 3rb 4as 1to 2trey 5-12fg 1-1ft,0,det,2,1,2019-01-16,False,30.75,120,115,23.25
2284,3,0,14,5,3,3,mil,"Conley, Mike",14,PG,2,7600,14pt 2rb 3as 1st 1to 1trey 5-14fg 3-3ft,1,mem,1,1,2019-01-16,False,23.42,101,111,23.0
